pm25,country,co,o3,pm10,pm1,so2,no2
-74.0,DZ,,,,,,
6.2,AD,209.0,54.0,14.7,,1.18,26.0
6.22,AR,0.39066666666666666,,18.65,4.47,,0.016976666666666664
-9.145,AU,0.1718333333333333,-1.9963899999999999,4.712222222222222,4.816666666666666,0.00044419999999999996,0.007185
8.464444444444446,AT,347.44444444444446,51.0,12.552,15.9975,1.268625,15.328999999999999
23.8,AZ,,,,,,
-823.0,BH,,-0.994,,,,
92.8,BD,,-0.122,,,,
7.973333333333334,BE,255.5,50.489999999999995,13.471,9.37,1.0122,13.934999999999999
18.8,BZ,,,,,,
35.9,BA,,93.9,23.7,,10.8,8.93
13.7,BR,0.4065,37.483333333333334,34.833333333333336,,6.670000000000001,29.05
10.684999999999999,BG,368.69,40.8,17.929,14.009,6.627,294.448
6.225,CA,0.229,0.02494,11.084,3.844,0.00063525,0.004634
72.2,TD,,,,,,
29.26,CL,,,49.21,,15.475,
34.36,CN,,0.03465,,,,
-527.0,CO,,,,,,
-999.0,CR,,,,,,
9.681999999999999,HR,342.5,52.04,20.5,,4.826,17.283
14.11125,CY,337.75,71.46000000000001,32.4,,2.459,15.207999999999998
12.622222222222222,CZ,435.44444444444446,60.07777777777778,18.107,17.475,3.93875,12.498999999999999
-709.0,CI,,,,,,
,DK,181.5,58.239999999999995,11.3,,,7.801428571428572
47.6,EG,,,,,,
3.68,EE,258.0,57.43333333333334,12.712,,0.8028333333333334,5.785
-16.5,ET,,,,,,
4.0225,FI,,58.19,10.334,,1.032,8.30411111111111
7.2666666666666675,FR,230.675,47.230000000000004,14.733333333333333,1.6284999999999998,0.9664571428571429,18.041999999999998
8.805,DE,310.8,50.660000000000004,14.209999999999999,12.733333333333333,2.3448333333333333,12.53
-269.85,GH,,,29.7,18.9,,
13.376666666666667,GR,1270.0,67.17999999999999,27.04,,6.783333333333334,19.287
-157.0,GT,,-0.944,,,,
-707.0,GN,,,,,,
11.734,HU,458.44444444444446,50.25,21.759999999999998,14.899999999999999,5.043,15.181999999999999
3.3183333333333334,IS,116.0,20.0,6.980555555555556,2.0533333333333332,4.103800000000001,5.827555555555556
,IN,,,,67.5,,
-146.38,ID,,-0.931,51.75,28.05,,
48.1,IQ,,,,,,
7.312857142857142,IE,319.5,46.900000000000006,3.1085714285714294,16.150000000000002,3.0995000000000004,11.29888888888889
16.353,IT,571.8888888888889,58.56666666666667,21.833333333333332,8.446666666666667,2.6451111111111114,24.169999999999998
9.478,JP,0.25529,,,,0.00102978,0.005013
-209.8,JO,,-0.48045,,,,
14.715,KZ,,,,,,
14.2,KE,,,21.7,10.9,,
31.1,KW,,,,,,
-2.5,KG,,,,,,
30.549999999999997,LA,,,,,0.00057,0.00112
7.920000000000001,LV,,53.4,15.266666666666666,,0.6105,10.46
6.136666666666667,LT,33.53888888888889,38.5,13.081,,3.646,9.989999999999998
7.5675,LU,279.5,47.5,14.299999999999999,,3.98,11.256
29.1,MG,,,,,,
28.9,MY,,,36.3,18.2,,
-999.0,ML,,,,,,
11.95,MT,,83.35,31.200000000000003,,0.32789999999999997,8.17
2.57,MU,,,2.165,0.8009999999999999,,
28.080000000000002,MX,0.9133333333333334,0.02418,63.11,16.45,0.00928,0.013678
43.1,MN,,,,,,
33.526666666666664,ME,1190.0,39.2,40.333333333333336,,23.07,23.049999999999997
21.0,MM,,,,,,
-7.733333333333332,NP,,-0.37735,62.9,34.7,,
6.902000000000001,NL,262.0,42.51111111111111,6.7863,14.014444444444443,-6.4608888888888885,-34.37
8.965555555555556,NZ,524.0,,17.333333333333332,,-0.193,12.5075
23.224999999999998,NG,,,685.45,652.5,,
14.25,MK,1150.5,28.821111111111108,24.425,,9.439422222222221,20.4589033
7.386,NO,290.0,60.388888888888886,16.788999999999998,,2.86875,14.631428571428572
52.11666666666667,PK,,,240.0,90.6,,
18.6,PY,,,,,,
23.354,PE,1690.0,10.046000000000001,51.71111111111111,,39.519999999999996,35.666666666666664
18.0,PH,,,,,,
17.5,PL,350.85714285714283,51.355555555555554,23.05,22.8,4.8,12.084
1.9600000000000002,PT,176.66,53.3,9.328,6.305,2.307142857142857,9.914
6.567333333333334,PR,,0.007764999999999999,43.9,,,
35.4,QA,,0.0298,,,,
15.183333333333332,RO,56.147000000000006,18.708571428571428,13.0071,20.1,1.7523399999999998,8.23037
40.3,RW,,,,,,
,SM,,65.4,,,,4.96
31.35,SA,,,,,,
12.6,SN,,,13.3,6.75,,
23.0875,RS,504.7,49.7375,32.416666666666664,,10.103333333333332,21.179
12.18,SG,,,,,,
12.9,SK,538.5,49.7,19.599999999999998,,10.3325,16.5575
25.7,SI,,76.9,27.26,20.75,,
15.514285714285714,ZA,,,9.76125,5.8642,,
10.612222222222222,ES,379.22222222222223,53.260000000000005,22.05,5.4399999999999995,3.3310000000000004,11.952
-309.1,LK,,,,,,
5.2075,SE,,54.68888888888889,13.124,,0.57,12.056999999999999
9.781,CH,271.375,44.1,11.338,14.478333333333333,0.35888888888888887,15.307999999999998
29.8425,TJ,,,115.05,44.75,,
27.034,TH,0.39566666666666667,0.031175,53.739999999999995,21.141,0.0015845,0.00945
11.0825,TT,405.3333333333333,30.05,30.95,,0.9175,12.0
6.75,TM,,,,,,
42.1,UG,,,,,,
21.2,UA,,,32.0,17.8,,
7.5925,GB,197.14285714285714,52.86666666666667,18.619999999999997,16.812,2.072,17.372
13.9,UZ,,-0.0489,,,,
-512.45,VN,,,,,,
